Target,Source,Lag_h,Stations_Significant,Mean_Strength,Median_Strength,Mean_p_value
CO,Wind Speed,1,4,-0.050462,-0.049426,0.02983
CO,Dew Point,1,2,-0.000598,-0.000598,0.040733
CO,Humidity,1,1,0.047249,0.047249,0.045033
NO2,Congestion Level,1,2,0.053195,0.053195,0.024481
NO2,Wind Speed,1,1,-0.063289,-0.063289,0.004049
NO2,Speed,1,1,-0.058751,-0.058751,0.007678
NO2,Dew Point,1,1,-0.057965,-0.057965,0.008501
NO2,Temperature,1,1,-0.044591,-0.044591,0.046054
O3,Wind Speed,1,2,-0.054432,-0.054432,0.025641
O3,Temperature,1,1,0.084843,0.084843,0.000315
O3,Speed,1,1,0.048902,0.048902,0.028669
O3,Humidity,1,1,0.048812,0.048812,0.038492
PM10,Wind Speed,1,1,-0.050044,-0.050044,0.025073
PM10,Speed,1,1,0.048232,0.048232,0.030844
PM2.5,Wind Speed,1,2,-0.066707,-0.066707,0.005155
PM2.5,Dew Point,1,1,0.050555,0.050555,0.026511
SO2,Pressure,1,1,0.056696,0.056696,0.016083
SO2,Temperature,1,1,0.0475,0.0475,0.031141
SO2,Congestion Level,1,1,-0.047627,-0.047627,0.043168
